"","id.p","is.mottles","is.concr","thick.A","a_S.A","a_sat_CEC.A","esp.A","esp.B","a_OC.A","Bt","is.caco3","d.caco3","is.E","is.hydro","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","X","Y"
"86",477,0,0,33,16.330303030303,76.5151515151515,2.44943403228799,3.118689701593,1.81060606060606,1.29754105893319,0,NA,0,0,79.3583145141602,94360.2109375,94.8710021972656,-5.6140513420105,6.61849117279053,0.114313773810863,12.7645502090454,-0.551353454589844,0,296.608364998504,7.65049856732373,3267.0625,1642.14315968663,5425806.77800331,6235274.9780177
"87",478,1,0,26,18.7538461538462,82.6153846153846,2.13289581624282,2.23713646532438,2.07692307692308,1.25965801139962,0,NA,0,0,82.9047622680664,98015.2265625,30.0008449554443,-11.9357309341431,6.76545000076294,0.0352381393313408,17.1256732940674,0.0434417724609375,0.172413796186447,296.633078349005,7.4894548771096,3457.44444444444,2052.2336382544,5418468.57800125,6237543.37802293
"88",479,1,0,32,18.321875,88.40625,2.08084598328501,4.05405405405405,1.8628125,1.4583606557377,0,NA,0,0,76.0945053100586,105959.0703125,189.742004394531,-6.85323333740234,2.08952260017395,0.537382066249847,10.1475858688354,3.32086944580078,0,296.602114370741,7.33130716906929,3547.125,1528.97111927153,5415493.17800109,6229330.57801953
"89",480,1,0,29,20.6172413793103,23.3275862068966,3.32831577186821,2.45098039215686,1.88206896551724,1.21474926253687,0,NA,0,0,80.1548767089844,105005.0703125,510.89599609375,11.4217824935913,1.52495718002319,0.409904092550278,9.81938457489014,-1.46432495117188,0,296.699676692661,7.23569328328697,3545.56944444444,2103.48823727981,5415033.17800295,6231271.07801857
"90",481,1,0,29,17.8689655172414,78.1724137931035,3.35777692010807,9.94983852126709,2.09896551724138,1.31960389026616,0,NA,1,0,76.2968063354492,94370.671875,0,-13.3081712722778,6.5529088973999,0.0815300196409225,18.5357208251953,-0.059539794921875,2,296.599352668313,7.51419535025208,3835.8125,839.294392025834,5428300.67800296,6232747.47802474
"91",482,1,0,29,17.4344827586207,86.2413793103448,1.14715189873418,0.885991307255099,1.77344827586207,1.0562349015618,0,NA,0,0,79.5510177612305,95785.0703125,241.874542236328,-2.82852363586426,6.61817169189453,0.0356028191745281,17.2093086242676,-0.08251953125,0,296.482326816564,7.48099334533455,4396.69444444444,1115.29859451806,5422767.37799537,6236448.37802437
"92",483,0,0,30,20.48,91.4333333333333,3.41796875,5.69744597249509,1.97266666666667,1.5925135999784,0,NA,0,0,73.3028411865234,92357.7265625,120.003379821777,1.78723549842834,4.68365478515625,0.110504008829594,11.9850254058838,5.18904113769531,0,296.779264652028,7.51070233700087,3206.98611111111,1962.73390387697,5444333.97800208,6222166.27802492
"93",485,0,0,22,23.8,87,5.04201680672269,5.29051987767584,2.45,1.23715651135006,0,NA,0,0,77.5733947753906,83063.4765625,123.696655273438,-1.10015058517456,4.41420602798462,0.0338865667581558,11.4457635879517,5.98919677734375,0,296.591437152404,7.4571611530564,3444.20138888889,1798.88920885427,5446041.37799928,6232672.47802062
"94",488,0,0,30,18.7933333333333,89.9333333333333,1.31252217098262,1.02551872167899,1.84866666666667,1.32298730259864,0,NA,0,0,76.323600769043,112003.515625,523.942260742188,-6.4790825843811,4.69173765182495,0.0311376228928566,14.9287548065186,1.79013824462891,0,296.666676510082,7.51824890735245,3601.05555555556,2057.89667820101,5424240.27799837,6212886.47801842
"95",489,0,0,33,28.5666666666667,86.5757575757576,3.28842685902196,2.64405805431815,2.97,1.46093950027863,0,NA,0,0,75.3494873046875,84381.265625,30.0008449554443,-35.4065475463867,3.93372082710266,0.210719257593155,14.758957862854,0.287788391113281,0.413793116807938,296.72870573156,7.62921860267415,3679.95138888889,1625.3032178852,5446729.3780022,6230535.07801733
"96",490,0,0,28,18.3,85,2.18579234972678,3.33160198857312,2.12,1.40361233197523,0,NA,0,0,67.1654815673828,88142.9609375,364.976043701172,-15.1103792190552,2.71247482299805,0.393961191177368,10.6105184555054,0.389266967773438,0,296.518561364621,7.60157018173997,4501.76388888889,1816.36669531065,5445956.87799605,6226279.17801995
"97",492,1,1,13,NA,NA,NA,NA,1.57,1.51772853185596,1,0,1,1,68.6497573852539,91640.625,722.516052246094,-37.072509765625,4.54235982894897,0.181179881095886,16.9371109008789,0.225425720214844,0,296.766549489922,7.74260698044724,3248.67361111111,1209.38754557118,5438945.1779992,6227249.07802525
"98",494,1,1,19,22.4894736842105,82,0.889304937982682,0.612984118138757,2.56684210526316,1.13129526696985,0,NA,1,1,79.1445465087891,116937.296875,169.710403442383,-12.4237184524536,4.55706167221069,0.112663604319096,15.2232360839844,0.344505310058594,0,296.391180077837,7.3345305011425,3635.20833333333,2099.0542987976,5417235.17799498,6212270.97802646
"99",496,0,0,36,16.2111111111111,80.6666666666667,0.616860863605209,1.08267716535433,1.82222222222222,1.1763907734057,0,NA,0,0,83.7551040649414,122664.7109375,30.0008449554443,2.61794018745422,5.45712423324585,0.0516161248087883,11.4955625534058,1.04973602294922,0.310344815254211,296.55885292502,7.43105729633081,3353.95833333333,1923.24750079149,5411399.87800021,6209810.078019
"100",497,1,0,42,22.4047619047619,87.1904761904762,2.91179596174283,NA,1.5602380952381,0.579123825416287,0,NA,0,0,71.0914077758789,78221.15625,108.169586181641,-68.2185592651367,3.18129730224609,0.145414888858795,15.9443693161011,0,0,296.892588402243,7.30541978378395,3502.29861111111,1658.49489050049,5461494.1780025,6227426.07801763
"101",498,1,0,27,20.5111111111111,82.8888888888889,0.487540628385699,0.45662100456621,2.21,1.28294573643411,0,NA,0,0,73.1886367797852,113351.765625,258.077026367188,-5.26543521881104,6.59502363204956,0.0903337001800537,13.2358436584473,0.781105041503906,0,296.678082626478,7.60637999749634,3177.73611111111,2117.84652463384,5435851.77800144,6202298.27802736
"102",499,0,0,18,18.4,84,1.6304347826087,1.63934426229508,1.98,1.56976744186047,0,NA,0,0,76.4444427490234,96456.7578125,189.742004394531,-3.72936868667603,4.15445756912231,0.10640811920166,11.2877969741821,3.12884521484375,0,297.108347754915,7.88916394093858,2936.82638888889,1711.31792883862,5442895.47800274,6218087.37802205
"104",503,0,0,34,19.8588235294118,88.0588235294118,2.31042654028436,3.29984239558708,2.06,1.725045670202,0,NA,0,0,75.9201736450195,78704.890625,391.163177490234,-3.6446418762207,2.87538957595825,0.401681125164032,11.226770401001,4.66499328613281,0,296.877118458467,7.39835973498622,3606.65277777778,1638.16870003747,5461552.67799954,6226825.6780256
"105",504,0,1,27,24.8555555555556,91.3333333333333,1.6092981671882,NA,1.46777777777778,0.77076124567474,1,27,0,0,46.0669746398926,68503.4609375,90.0025329589844,-15.5927305221558,4.70983600616455,0.197453409433365,11.6394853591919,0.162296295166016,0.0344827584922314,297.030692054175,7.68790967467209,3199.99305555556,1630.11195075044,5466240.4779956,6235930.37801771
"106",506,0,0,26,19.3307692307692,87.2307692307692,2.58654994031039,2.58556547619048,1.61692307692308,1.63184598276341,0,NA,0,0,64.6441268920898,77440.1328125,0,-42.2391014099121,2.43447542190552,0.360873997211456,15.931303024292,0,1.27586209774017,296.784176905015,7.66037204993679,3697.14583333333,1371.69944091492,5469259.377999,6221615.77802258
"107",507,1,0,13,18.2,81,2.74725274725275,1.63532297628782,1.93,1.0282832278481,0,NA,1,0,71.0894470214844,77082.078125,0,-2.25741052627563,3.93043541908264,0.0945784822106361,12.7919454574585,5.59798431396484,1.68965518474579,296.767422570747,7.7526985021628,3640.18055555556,1889.37725579731,5468439.87800273,6222867.77802024
"109",509,0,1,30,23,92,4.78260869565217,1.89393939393939,1.63,1.12686567164179,0,NA,0,0,31.1548976898193,50124.484375,416.785064697266,-17.3777160644531,4.14390897750854,0.109779201447964,17.0690517425537,0.0102729797363281,0,297.125769169373,7.68468397089691,3466.6875,1361.76526975562,5498227.07800391,6233126.47801695
"110",510,1,0,60,20.1133333333333,83.4833333333333,1.26781571097116,3.11330476758692,1.71116666666667,1.184362652111,0,NA,0,0,60.6750640869141,71532.953125,271.669219970703,-37.3948745727539,1.71249294281006,0.480822950601578,10.1890029907227,4.83728790283203,0,296.873432007735,7.66681977351388,3119.05555555556,2029.1342009053,5486908.07799859,6213677.47802363
"111",511,1,1,38,26.0394736842105,99.6578947368421,2.68822637695806,2.54437869822485,2.87368421052632,1.9423111037525,1,0,0,1,53.57666015625,66972.5625,94.8710021972656,-9.53701400756836,3.59701108932495,0.202652141451836,12.0404758453369,2.66159820556641,0,296.935425520642,7.6471062796945,3754.22916666667,1958.90185705587,5487314.57799924,6219892.77801957
"112",513,1,1,12,19.9,79,3.51758793969849,2.95566502463054,1.8,1.876,0,NA,0,1,59.3165130615234,50666.0546875,536.671447753906,0.124745965003967,2.66132259368896,0.169522345066071,10.5631484985352,4.994384765625,0,296.886136215345,7.59710086642041,3702.20833333333,1714.82282668592,5491389.37800064,6237960.87801795
"113",514,0,0,11,19.9,84,3.01507537688442,2.49110320284697,1.25,1.48188405797101,0,NA,0,0,55.7517547607422,73134.6875,617.755187988281,-10.5522689819336,3.50027680397034,0.0798287913203239,10.4972858428955,2.83263397216797,0,296.849101318,7.81518001407795,3308.81944444444,1965.82632549188,5484917.17799609,6213414.9780194
"114",515,1,1,30,23.72,94,2.95109612141653,2.82506604050484,2.322,1.87666695720387,0,NA,0,1,62.8672752380371,77993.0625,90.0025329589844,-3.94528293609619,3.84556937217712,0.18932643532753,12.0123338699341,0.784488677978516,0.0344827584922314,296.816141254948,7.64247021366128,3194.59027777778,1618.20891842835,5489857.97800141,6202512.17801824
"115",516,1,0,18,19.2,86,4.6875,3.99822301199467,2.1,1.31782608695652,0,NA,0,0,53.4261322021484,79094.484375,189.742004394531,-0.660974442958832,0.815559327602386,0.817305028438568,9.87884521484375,11.1538925170898,0,296.756974767833,7.54936543685417,3722.58333333333,1472.46886298066,5478923.37799632,6211106.47802278
"116",517,1,1,22,19.4,94,4.40487347703843,4.32498835091287,1.67090909090909,1.4291812133588,0,NA,0,1,60.1830253601074,68566.2890625,152.974899291992,-8.01179218292236,1.86945426464081,0.410196214914322,10.7772960662842,6.14738464355469,0,297.012394438756,7.77906358095411,3435.08333333333,1589.00240728252,5487304.07799893,6217562.87801723
"117",518,0,0,28,20.0142857142857,93,2.06995003568879,2.54434870755195,1.86857142857143,1.28817183517161,0,NA,0,0,61.3784599304199,85894.515625,465.738372802734,1.75634562969208,2.26257014274597,0.220071226358414,10.5232305526733,2.54005813598633,0,296.751193331689,7.62236615899992,3586.52777777778,2003.79555558785,5459413.2780028,6219113.27802367
"118",519,0,0,30,19.34,92.4,2.89555325749741,3.51346190567119,1.772,1.42584636535487,0,NA,0,0,67.4806365966797,96590.5390625,84.8552017211914,-4.19480848312378,6.92648553848267,0.101524226367474,13.5862636566162,-0.0923919677734375,0.0689655169844627,296.748957428113,7.85065722685734,3585.29166666667,1639.78593125739,5458847.77799595,6205233.67801829
