"","id.p","CEC.A","CEC.B","CEC.C","OC.A","OC.B","OC.C","clay.A","clay.B","clay.C","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","ndwi.a","ndwi.b","ndwi.bsd","X","Y"
"112",577,20.244,31.6478260869565,24.2857142857143,2.0276,0.493913043478261,0.101428571428571,26.124,45.2695652173913,27.5142857142857,15.0161294937,2388.7907714844,182.4880218506,8.8951730728,1.8483598232,0.9251069427,9.7097463608,10.423242569,0,296.9510297887,7.6267056162,2973.375,579.432165672,-0.0146846846,-0.0321715873,0.0296408312,5590283.07800389,6221018.27802506
"113",578,19.05,30.0045977011494,29.4,1.46,0.310459770114943,0.05,24.2,40.1413793103448,37.2,26.1206665039,6557.8442382813,120.0033798218,-1.2003847361,5.6284170151,0.0439889394,12.2879886627,0.620891571,0,296.6249705659,7.7532056183,3931.5416666667,1122.2026721643,0.0015597789,-0.0417408092,0.0483370135,5583934.27799973,6224968.17802135
"114",581,21.8,32.3607594936709,34.3,2.05,0.438987341772152,0.1,26.0933333333333,47.7430379746835,18.2,37.7391319275,35412.75390625,258.0770263672,-1.1180148125,3.4369573593,0.1225161776,12.0838041306,3.4806632996,0,296.7874413883,8.1416007369,4387.7430555556,1055.8581420036,-0.0069344913,-0.0336348447,0.0598748058,5561343.77799858,6204625.17801837
"115",587,23.7666666666667,31.9984615384615,30.3,1.98,0.588615384615385,0.01,27.2444444444444,48.6553846153846,34.8,34.7545471191,22973.302734375,201.2517852783,-0.2650120556,4.2570104599,0.0830835626,11.5781173706,6.2308502197,0,296.7541086818,8.1227412167,3675.0694444444,1062.2082332613,0.0108181723,-0.0695061387,0.0681989226,5570841.87800048,6213455.47802118
"116",589,25.3068965517241,40.5024691358025,36.3,2.50965517241379,0.709506172839506,0.12,29.3241379310345,55.9962962962963,26.3,25.1259288788,15218.740234375,30.0008449554,-0.1330470443,0.8803638816,0.781009078,9.7445249557,8.9560527802,0.2413793057,296.5950584412,7.9709331719,4021.6319444444,569.2531697585,-0.046806999,-0.0354959511,0.0352825902,5584911.77800194,6207902.07801773
"117",590,23.552,38.367619047619,37.5,2.2888,0.523238095238095,0.01,27.564,54.8628571428571,27.9,31.2511520386,15594.0341796875,256.327331543,-2.5429265499,3.8397915363,0.1299097389,11.7156944275,1.4111366272,0,296.6025960016,8.0227130705,4276.0555555556,907.7317522016,-0.0307844296,-0.0166926281,0.0446754241,5581115.47799883,6210623.0780254
"118",593,17.9114285714286,15.7,8.4,1.822,0.78,0.09,21.3371428571429,24.4,15.7,74.0606079102,135840.703125,127.2828063965,-4.0155353546,0.6962396502,0.1235392988,15.9012174606,0.9802093506,0,296.1590040439,7.3521300277,3603.9166666667,1002.7875518403,-0.0321564922,-0.0338687214,0.0527906941,5404820.17800048,6198020.87802745
"119",597,15.3466666666667,14.9,10.8,1.54333333333333,0.47,0.1,17.6533333333333,20,13.4,83.7557601929,139949.4375,150.0042266846,-16.0690517426,2.7877962589,0.234924674,12.4521455765,3.5048217773,0,296.6681116155,7.6608060651,3182.7916666667,1798.5457834914,0.0392520408,-0.0627115453,0.0998324804,5398116.47799863,6198579.87802171
"120",598,17.5545454545455,15.5,13.4,1.09,0.22,0.06,16.7454545454545,17.9,14.3,84.9371948242,142635.34375,0,-3.0029213428,1.8941972256,0.0655735806,10.9637060165,0.7237625122,1.586206913,296.4487685933,7.4011979427,3269.9930555556,1656.8121952415,0.0259194369,-0.0639259998,0.0730780606,5404056.17800239,6189817.57802482
"121",599,28.1657894736842,19.758064516129,17.9,2.80473684210526,0.120645161290323,0.06,30.3947368421053,31.3483870967742,19.5,84.6103897095,140818.3125,150.0042266846,-5.3818583488,5.0244984627,0.1185430065,15.53469944,-0.0491256714,0,296.4174079726,7.4260055054,3008.1458333333,2287.0654387755,0.051356241,-0.0775611954,0.082035276,5406227.5780013,6190387.57802391
